,Species,Country_of_Origin,Harvest_Year,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Moisture,Category_One_Defects,Color,Category_Two_Defects,Certification_Body,altitude_mean_meters,Total_Cup_Points,Points_Tiers
77,Arabica,Costa Rica,2014,Caturra,Washed/Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,0.0,0,Bluish-Green,0,Specialty Coffee Association,1300.0,85.33,Excellent Specialty
78,Arabica,Costa Rica,2014,Caturra,Washed/Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,0.1,0,Bluish-Green,2,Specialty Coffee Association,1300.0,85.33,Excellent Specialty
79,Arabica,Kenya,2012,SL34,Washed/Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,0.0,0,Green,2,Kenya Coffee Traders Association,1600.0,85.33,Excellent Specialty
80,Arabica,Kenya,2012,SL34,Washed/Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,0.0,0,Green,6,Kenya Coffee Traders Association,1200.0,85.33,Excellent Specialty
84,Arabica,Colombia,2015,Caturra,Washed/Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,0.11,0,Green,0,Almacafé,1550.0,85.25,Excellent Specialty
85,Arabica,Colombia,2014,Caturra,Natural/Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,0.12,0,Green,2,Almacafé,1550.0,85.25,Excellent Specialty
86,Arabica,Indonesia,2012,Sumatra Lintong,Semi-washed/Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,0.11,0,Green,3,Specialty Coffee Association,1325.0,85.17,Excellent Specialty
92,Arabica,Colombia,2012,Caturra,Natural/Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,0.11,0,Green,8,Almacafé,2136.0,85.08,Excellent Specialty
96,Arabica,Uganda,2016,SL14,Washed/Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,0.11,0,Green,1,Uganda Coffee Development Authority,1800.0,85.0,Good Specialty
98,Arabica,Costa Rica,2016,Catuai,Washed/Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,0.12,1,Green,1,Specialty Coffee Association,1900.0,85.0,Good Specialty
99,Arabica,Mexico,2015,Typica,Washed/Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,0.09,0,Green,3,Centro Agroecológico del Café A.C.,1300.0,85.0,Good Specialty
101,Arabica,Kenya,2012,SL34,Washed/Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,0.0,0,Green,5,Kenya Coffee Traders Association,1580.0,85.0,Good Specialty
102,Arabica,Brazil,2012,Mundo Novo,Natural/Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,0.12,0,Green,3,NUCOFFEE,1100.0,85.0,Good Specialty
107,Arabica,Colombia,2015,Caturra,Washed/Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,0.12,0,Green,1,Almacafé,1775.0,84.92,Good Specialty
108,Arabica,Taiwan,2015,Typica,Semi-washed/Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,0.11,0,Green,0,Specialty Coffee Association,800.0,84.92,Good Specialty
109,Arabica,"Tanzania, United Republic Of",2014,Other,Washed/Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,0.12,0,Green,2,Africa Fine Coffee Association,1620.0,84.92,Good Specialty
110,Arabica,Colombia,2012,Caturra,Washed/Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,0.11,0,Green,3,Almacafé,1775.0,84.92,Good Specialty
112,Arabica,Brazil,2011,Bourbon,Natural/Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,0.11,0,Green,2,NUCOFFEE,1200.0,84.92,Good Specialty
113,Arabica,Brazil,2011,Catuai,Natural/Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,0.12,0,Green,2,NUCOFFEE,1000.0,84.92,Good Specialty
115,Arabica,Taiwan,2016,Typica,Natural/Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,0.0,0,Green,0,Specialty Coffee Association,350.0,84.83,Good Specialty
116,Arabica,Uganda,2013,SL14,Natural/Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,0.12,0,Green,1,Uganda Coffee Development Authority,1650.0,84.83,Good Specialty
121,Arabica,Kenya,2014,SL34,Washed/Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,0.13,0,Green,0,Kenya Coffee Traders Association,1800.0,84.75,Good Specialty
122,Arabica,Honduras,2014,Catuai,Washed/Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,0.11,0,Green,4,Instituto Hondureño del Café,1450.0,84.75,Good Specialty
125,Arabica,El Salvador,2016,Bourbon,Washed/Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,0.0,0,Blue-Green,2,Salvadoran Coffee Council,1350.0,84.67,Good Specialty
126,Arabica,Indonesia,2016,Java,Washed/Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,0.12,0,Green,7,Specialty Coffee Association of Indonesia,1200.0,84.67,Good Specialty
128,Arabica,Costa Rica,2015,Catuai,Washed/Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,0.1,0,Blue-Green,2,Specialty Coffee Association of Costa Rica,1150.0,84.67,Good Specialty
129,Arabica,Guatemala,2015,Bourbon,Washed/Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,0.1,0,Green,1,Asociacion Nacional Del Café,1600.0,84.67,Good Specialty
130,Arabica,Costa Rica,2014,Caturra,Washed/Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,0.12,0,Green,0,Specialty Coffee Association of Costa Rica,1750.0,84.67,Good Specialty
132,Arabica,Costa Rica,2014,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,0.08,0,Green,1,Blossom Valley International,1750.0,84.67,Good Specialty
133,Arabica,Costa Rica,2014,Catuai,Washed/Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,0.11,0,Green,4,Specialty Coffee Association of Costa Rica,1200.0,84.67,Good Specialty
135,Arabica,Taiwan,2014,Typica,Washed/Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.11,0,Green,0,Blossom Valley International,1000.0,84.67,Good Specialty
136,Arabica,Colombia,2013,Caturra,Washed/Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,0.0,0,Green,0,Almacafé,1550.0,84.67,Good Specialty
137,Arabica,Kenya,2012,SL28,Washed/Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,0.11,0,Bluish-Green,0,Specialty Coffee Institute of Asia,2000.0,84.67,Good Specialty
138,Arabica,Guatemala,2012,Bourbon,Washed/Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,0.11,0,Green,4,Asociacion Nacional Del Café,1310.64,84.67,Good Specialty
139,Arabica,Guatemala,2012,Bourbon,Washed/Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,0.12,0,Green,4,Asociacion Nacional Del Café,1524.0,84.67,Good Specialty
141,Arabica,Uganda,2012,Other,Washed/Wet,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,0.11,0,Blue-Green,3,Africa Fine Coffee Association,1775.0,84.67,Good Specialty
145,Arabica,Colombia,2016,Other,Washed/Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,0.0,0,Blue-Green,4,Almacafé,1500.0,84.58,Good Specialty
147,Arabica,Kenya,2013,Peaberry,Washed/Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,0.1,0,Bluish-Green,2,Kenya Coffee Traders Association,1800.0,84.58,Good Specialty
148,Arabica,Guatemala,2014,Pacas,Washed/Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,0.11,0,Green,1,Asociacion Nacional Del Café,1524.0,84.58,Good Specialty
149,Arabica,Guatemala,2014,Bourbon,Washed/Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,0.09,0,Green,0,Asociacion Nacional Del Café,1219.2,84.58,Good Specialty
153,Arabica,Colombia,2012,Caturra,Washed/Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,0.0,0,Green,2,Almacafé,1750.0,84.58,Good Specialty
154,Arabica,Costa Rica,2012,Bourbon,Semi-washed/Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,0.12,0,Bluish-Green,2,Specialty Coffee Association,1575.0,84.58,Good Specialty
155,Arabica,Colombia,2012,Caturra,Washed/Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,0.11,0,Green,6,Almacafé,1800.0,84.58,Good Specialty
156,Arabica,Brazil,2011,Bourbon,Semi-washed/Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,0.12,0,Green,2,NUCOFFEE,1300.0,84.58,Good Specialty
157,Arabica,Brazil,2011,Catuai,Semi-washed/Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,0.11,0,Blue-Green,1,NUCOFFEE,1100.0,84.58,Good Specialty
158,Arabica,Costa Rica,2018,Caturra,Washed/Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,0.1,0,Bluish-Green,2,Specialty Coffee Association of Costa Rica,1200.0,84.5,Good Specialty
159,Arabica,Uganda,2016,SL14,Washed/Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,0.11,0,Green,1,Uganda Coffee Development Authority,1750.0,84.5,Good Specialty
160,Arabica,China,2015,Catimor,Washed/Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,0.1,0,Green,1,Yunnan Coffee Exchange,1680.0,84.5,Good Specialty
161,Arabica,Costa Rica,2014,Caturra,Washed/Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,0.11,0,Green,0,Specialty Coffee Association of Costa Rica,1700.0,84.5,Good Specialty
162,Arabica,Colombia,2016,Other,Washed/Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,0.12,1,Green,0,Almacafé,1800.0,84.5,Good Specialty
163,Arabica,China,2013,Other,Washed/Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,0.0,0,Green,2,Specialty Coffee Association,1100.0,84.5,Good Specialty
164,Arabica,Guatemala,2013,Bourbon,Washed/Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,0.11,0,Green,2,Asociacion Nacional Del Café,1310.64,84.5,Good Specialty
165,Arabica,Kenya,2012,SL28,Washed/Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,0.11,0,Blue-Green,0,Specialty Coffee Institute of Asia,2000.0,84.5,Good Specialty
166,Arabica,Mexico,2012,Typica,Washed/Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,0.12,0,Green,0,AMECAFE,1350.0,84.5,Good Specialty
171,Arabica,Costa Rica,2016,Caturra,Washed/Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,0.1,0,Blue-Green,3,Specialty Coffee Association of Costa Rica,1300.0,84.42,Good Specialty
172,Arabica,Indonesia,2017,Mandheling,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,0.0,0,Blue-Green,3,Specialty Coffee Association,1400.0,84.42,Good Specialty
174,Arabica,Colombia,2014,Caturra,Washed/Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,0.0,0,Green,3,Almacafé,1775.0,84.42,Good Specialty
175,Arabica,Taiwan,2012,Typica,Washed/Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,0.11,0,Blue-Green,0,Specialty Coffee Association,1200.0,84.42,Good Specialty
179,Arabica,Kenya,2018,SL28,Washed/Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,0.11,0,Green,4,Kenya Coffee Traders Association,1800.0,84.33,Good Specialty
182,Arabica,Honduras,2016,Catuai,Washed/Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,0.11,0,Green,2,Instituto Hondureño del Café,1500.0,84.33,Good Specialty
184,Arabica,Colombia,2015,Caturra,Natural/Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,0.11,6,Green,0,Almacafé,442.0,84.33,Good Specialty
185,Arabica,Colombia,2013,Caturra,Washed/Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,0.0,0,Green,0,Almacafé,1800.0,84.33,Good Specialty
186,Arabica,Mexico,2012,Typica,Washed/Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,0.12,0,Blue-Green,1,AMECAFE,1700.0,84.33,Good Specialty
191,Arabica,Taiwan,2016,Typica,Washed/Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,0.12,0,Blue-Green,0,Specialty Coffee Association,1000.0,84.25,Good Specialty
192,Arabica,Thailand,2015,Catimor,Natural/Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,0.12,0,Green,0,Specialty Coffee Institute of Asia,1200.0,84.25,Good Specialty
193,Arabica,Colombia,2016,Caturra,Natural/Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,0.11,0,Green,2,Almacafé,2560.0,84.25,Good Specialty
194,Arabica,Guatemala,2016,Caturra,Washed/Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,0.11,0,Green,4,Asociacion Nacional Del Café,1500.0,84.25,Good Specialty
195,Arabica,Guatemala,2015,Caturra,Washed/Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,0.1,0,Green,1,Asociacion Nacional Del Café,1099.4136,84.25,Good Specialty
196,Arabica,China,2015,Catimor,Natural/Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.1,0,Green,1,Yunnan Coffee Exchange,1400.0,84.25,Good Specialty
197,Arabica,Colombia,2015,Caturra,Washed/Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,0.11,0,Green,3,Almacafé,1775.0,84.25,Good Specialty
198,Arabica,Colombia,2015,Caturra,Washed/Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,0.12,4,Green,2,Almacafé,1775.0,84.25,Good Specialty
199,Arabica,Colombia,2016,Other,Washed/Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,0.12,0,Green,0,Almacafé,1800.0,84.25,Good Specialty
200,Arabica,Colombia,2015,Caturra,Natural/Dry,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.83,0.12,3,Green,0,Almacafé,442.0,84.25,Good Specialty
201,Arabica,"Tanzania, United Republic Of",2014,Other,Washed/Wet,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,7.83,0.12,0,Green,7,Africa Fine Coffee Association,1620.0,84.25,Good Specialty
202,Arabica,"Tanzania, United Republic Of",2014,Other,Washed/Wet,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,0.12,0,Green,2,Africa Fine Coffee Association,1600.0,84.25,Good Specialty
203,Arabica,Guatemala,2014,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,0.1,0,Green,1,Asociacion Nacional Del Café,1219.2,84.25,Good Specialty
204,Arabica,Colombia,2013,Caturra,Washed/Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,0.11,0,Green,2,Almacafé,1700.0,84.25,Good Specialty
206,Arabica,Mexico,2012,Typica,Semi-washed/Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,0.12,0,Green,1,AMECAFE,1450.0,84.25,Good Specialty
207,Arabica,Mexico,2012,Bourbon,Washed/Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,0.12,0,Green,0,AMECAFE,1170.0,84.25,Good Specialty
208,Arabica,Mexico,2012,Bourbon,Washed/Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,0.1,0,Bluish-Green,4,AMECAFE,1400.0,84.25,Good Specialty
209,Arabica,Uganda,2012,Other,Natural/Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,0.13,4,Green,29,Africa Fine Coffee Association,1700.0,84.25,Good Specialty
210,Arabica,Guatemala,2017,Bourbon,Washed/Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,0.13,0,Green,1,Asociacion Nacional Del Café,1700.0,84.17,Good Specialty
212,Arabica,Costa Rica,2016,Caturra,Washed/Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,0.09,0,Bluish-Green,2,Specialty Coffee Association of Costa Rica,1700.0,84.17,Good Specialty
213,Arabica,Guatemala,2016,Caturra,Washed/Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,0.11,0,Green,6,Asociacion Nacional Del Café,1116.7872,84.17,Good Specialty
214,Arabica,Guatemala,2016,Caturra,Washed/Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,0.1,0,Green,10,Asociacion Nacional Del Café,1565.0,84.17,Good Specialty
215,Arabica,Guatemala,2016,Bourbon,Washed/Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,0.1,0,Green,2,Asociacion Nacional Del Café,3280.0,84.17,Good Specialty
216,Arabica,Colombia,2015,Caturra,Washed/Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,0.0,0,Bluish-Green,0,Almacafé,1775.0,84.17,Good Specialty
217,Arabica,Nicaragua,2015,Caturra,Natural/Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,0.12,0,Bluish-Green,0,Specialty Coffee Association of Costa Rica,1000.0,84.17,Good Specialty
219,Arabica,Costa Rica,2014,Caturra,Washed/Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,7.83,0.0,0,Blue-Green,0,Specialty Coffee Association of Costa Rica,1850.0,84.17,Good Specialty
220,Arabica,Ethiopia,2014,Gesha,Natural/Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,0.1,0,Green,5,METAD Agricultural Development plc,1606.5,84.17,Good Specialty
